Ticker,Nome Asset,Prezzo ($),RSI 14,Stato RSI,SMA 40 ($),Trend SMA 40,SMA 200 ($),Trend SMA 200,Posizione Medie
CTSH,Cognizant Technology Solutions Corp,64.58,74.4,Ipercomprato (RSI ≥ 70) 🔴,54.62,In Crescita 🟢,65.73,In Declino 🔴,SMA 40 SOTTO SMA 200 🔴
MGM,MGM Resorts International,41.36,27.7,Ipervenduto (RSI ≤ 30) 🟢,43.63,In Declino 🔴,38.47,In Crescita 🟢,SMA 40 SOPRA SMA 200 🟢
AAP,Advance Auto Parts Inc,42.18,29.24,Ipervenduto (RSI ≤ 30) 🟢,53.76,In Declino 🔴,50.96,In Declino 🔴,SMA 40 SOPRA SMA 200 🟢
ACH,Accendra Health Inc,1.21,29.64,Ipervenduto (RSI ≤ 30) 🟢,2.49,In Declino 🔴,4.97,In Declino 🔴,SMA 40 SOTTO SMA 200 🔴
HRL,Hormel Foods Corp,21.85,29.52,Ipervenduto (RSI ≤ 30) 🟢,23.94,In Declino 🔴,25.46,In Declino 🔴,SMA 40 SOTTO SMA 200 🔴
DKS,Dicks Sporting Goods Inc,135.1,23.95,Ipervenduto (RSI ≤ 30) 🟢,200.34,In Declino 🔴,209.53,In Declino 🔴,SMA 40 SOTTO SMA 200 🔴
GEN,Gen Digital Inc,31.0,70.46,Ipercomprato (RSI ≥ 70) 🔴,26.46,In Crescita 🟢,25.96,In Crescita 🟢,SMA 40 SOPRA SMA 200 🟢
IQV,IQVIA Holdings Inc.,261.19,71.48,Ipercomprato (RSI ≥ 70) 🔴,216.66,In Crescita 🟢,197.89,In Crescita 🟢,SMA 40 SOPRA SMA 200 🟢
CRM,Salesforce Inc,257.54,81.12,Ipercomprato (RSI ≥ 70) 🔴,189.79,In Crescita 🟢,225.53,In Crescita 🟢,SMA 40 SOTTO SMA 200 🔴
BURL,Burlington Stores Inc,259.76,15.81,Ipervenduto (RSI ≤ 30) 🟢,330.79,In Declino 🔴,297.83,In Declino 🔴,SMA 40 SOPRA SMA 200 🟢
EVO.ST,Evolution AB ,836.8,76.36,Ipercomprato (RSI ≥ 70) 🔴,718.4,In Crescita 🟢,721.46,In Crescita 🟢,SMA 40 SOTTO SMA 200 🔴
SINCH.ST,Sinch AB,47.2,70.65,Ipercomprato (RSI ≥ 70) 🔴,39.14,In Crescita 🟢,31.06,In Crescita 🟢,SMA 40 SOPRA SMA 200 🟢
SKF-B.ST,SKF AB Class B,277.8,71.39,Ipercomprato (RSI ≥ 70) 🔴,254.73,In Crescita 🟢,236.46,In Crescita 🟢,SMA 40 SOPRA SMA 200 🟢
DBK.DE,Deutsche Bank Aktiengesellschaft,34.9,71.48,Ipercomprato (RSI ≥ 70) 🔴,31.13,In Crescita 🟢,27.6,In Crescita 🟢,SMA 40 SOPRA SMA 200 🟢
FHB,First Hawaiian Inc,25.61,26.66,Ipervenduto (RSI ≤ 30) 🟢,27.45,In Declino 🔴,26.15,In Declino 🔴,SMA 40 SOPRA SMA 200 🟢
TGYM.MI,Technogym S.p.A,12.76,29.05,Ipervenduto (RSI ≤ 30) 🟢,15.11,In Declino 🔴,14.96,In Declino 🔴,SMA 40 SOPRA SMA 200 🟢
CCL,Carnival Corp Ltd,23.89,29.94,Ipervenduto (RSI ≤ 30) 🟢,27.18,In Declino 🔴,26.71,In Declino 🔴,SMA 40 SOPRA SMA 200 🟢
SESG.PA,SES GLOBAL FDR,4.95,25.95,Ipervenduto (RSI ≤ 30) 🟢,6.47,In Declino 🔴,6.05,In Declino 🔴,SMA 40 SOPRA SMA 200 🟢
DMNIF,Damon Inc,0.06,26.61,Ipervenduto (RSI ≤ 30) 🟢,0.07,In Declino 🔴,10.55,In Declino 🔴,SMA 40 SOTTO SMA 200 🔴
KRG,Kite Realty Group Trust,25.8,28.4,Ipervenduto (RSI ≤ 30) 🟢,27.19,In Declino 🔴,25.17,In Crescita 🟢,SMA 40 SOPRA SMA 200 🟢
MNSO,MINISO Group Holding Limited,9.3,23.42,Ipervenduto (RSI ≤ 30) 🟢,12.67,In Declino 🔴,16.96,In Declino 🔴,SMA 40 SOTTO SMA 200 🔴
EYPT,EyePoint Inc,4.5,28.24,Ipervenduto (RSI ≤ 30) 🟢,11.31,In Declino 🔴,11.83,In Declino 🔴,SMA 40 SOTTO SMA 200 🔴
CGBD,Carlyle Secured Lending Inc,11.98,73.56,Ipercomprato (RSI ≥ 70) 🔴,11.0,In Crescita 🟢,12.76,In Declino 🔴,SMA 40 SOTTO SMA 200 🔴
TZOO,Travelzoo,6.48,26.26,Ipervenduto (RSI ≤ 30) 🟢,8.47,In Declino 🔴,10.11,In Declino 🔴,SMA 40 SOTTO SMA 200 🔴
